POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
112,493.5858,1467.0046,-1083.2227,0.0,0.0,0.0,-1275.9708,-16059.2274,609.4923,11759.7086,-1982.2882,1235.8168,-751.8122,-4088.6296,-1498.2835999999998,-5586.913200000001
113,507.9213,1418.7639,-1071.2142,0.0,0.0,0.0,-1257.8965,-16003.9851,596.3933,11724.9878,-2008.4887,1261.5161,-771.9078,-4085.0294999999987,-1518.8804,-5603.909899999999
114,495.258,1442.0914,-1116.3462,0.0,0.0,0.0,-1252.5417,-15973.0912,606.8185,11705.9359,-2049.3768,1241.5199,-758.4413,-4091.8753000000015,-1566.2982,-5658.173500000001
115,511.355,1412.5443,-1083.6163,0.0,0.0,0.0,-1266.2137,-15981.0958,616.2391,11758.7671,-2055.4505,1243.6981,-754.9359,-4032.0203,-1566.6882999999998,-5598.7086
116,507.8681,1398.896,-1074.2485,0.0,0.0,0.0,-1241.9101,-16007.5632,615.5965,11804.5791,-2094.8047,1247.9034,-754.3485,-3996.7820999999985,-1601.2498,-5598.031899999999
117,495.6843,1480.0154,-1094.0801,0.0,0.0,0.0,-1282.1809,-15981.8907,599.1472,11741.1269,-1999.0001,1240.9529,-744.4796,-4042.1779000000006,-1502.5268,-5544.7047
118,539.6468,1452.9545,-1126.072,0.0,0.0,0.0,-1229.4524,-15977.0991,596.7299,11751.2284,-2057.5209,1254.4428,-766.5499,-3992.063899999999,-1569.628,-5561.691899999999
119,492.3221,1418.1152,-1083.603,0.0,0.0,0.0,-1248.6721,-16126.1201,603.0602,11785.5071,-1983.4763,1239.1621,-751.4384,-4159.390600000001,-1495.7526,-5655.143200000001
120,505.6483,1367.9789,-1103.5407,0.0,0.0,0.0,-1248.6709,-16143.6308,621.8585,11794.5561,-1938.4916,1237.8155,-747.5767,-4205.800600000002,-1448.2528000000002,-5654.0534000000025
121,501.0052,1424.7504,-1143.1107,0.0,0.0,0.0,-1248.1017,-16118.1578,599.9903,11769.1061,-1966.9764,1239.9229,-748.0209,-4214.5182,-1475.0744,-5689.5926
122,504.6612,1406.9675,-1108.3958,0.0,0.0,0.0,-1296.8455,-16119.7648,602.787,11731.6373,-1886.9056,1233.7662,-740.8719,-4278.953100000001,-1394.0113000000001,-5672.964400000001
123,505.3023,1433.782,-1106.3484,0.0,0.0,0.0,-1247.5797,-16163.7955,583.9253,11780.474,-1927.9798,1256.9234,-768.3715,-4214.239999999998,-1439.4279000000001,-5653.667899999999
124,511.2564,1431.0619,-1137.2111,0.0,0.0,0.0,-1294.7284,-16153.4669,617.9566,11784.2912,-1931.4777,1233.5772,-745.5343,-4240.840300000002,-1443.4348,-5684.275100000002
125,521.0854,1410.5435,-1078.2026,0.0,0.0,0.0,-1283.803,-16050.9649,611.1209,11794.2763,-2028.2521,1236.4642,-751.8427,-4075.9444000000003,-1543.6306,-5619.575
126,521.0804,1390.9493,-1102.6732,0.0,0.0,0.0,-1262.7896,-16096.2536,607.4527,11793.6251,-2006.5635,1238.2785,-755.4549,-4148.608899999999,-1523.7399,-5672.348799999999
127,526.9172,1460.7547,-1103.4586,0.0,0.0,0.0,-1258.6322,-15901.2901,601.4437,11741.6246,-2187.7385,1254.8113,-764.3708,-3932.6407000000017,-1697.2979999999998,-5629.938700000001
128,485.5801,1447.9602,-1097.0472,0.0,0.0,0.0,-1284.5469,-16103.909,607.8069,11830.7146,-2038.8955,1230.8509,-744.7689,-4113.441300000002,-1552.8135000000002,-5666.254800000003
129,527.5945,1427.9465,-1095.9168,0.0,0.0,0.0,-1285.6009,-15968.8177,619.3237,11723.8128,-2080.3597,1238.3778,-754.8515,-4051.6578999999983,-1596.8334,-5648.491299999998
130,546.3647,1377.791,-1087.2858,0.0,0.0,0.0,-1260.4879,-15984.4734,586.4598,11808.7582,-2080.0221,1240.4095,-753.7895,-4012.8734000000004,-1593.4021000000002,-5606.275500000001
131,535.9496,1432.0924,-1092.1725,0.0,0.0,0.0,-1275.82,-16076.2205,606.1506,11797.9042,-2022.4589,1231.862,-741.1463,-4072.1161999999968,-1531.7432,-5603.859399999997
132,511.3153,1438.7476,-1078.9193,0.0,0.0,0.0,-1255.4997,-16091.03,600.4643,11762.6472,-1987.5084,1248.7397,-764.1491,-4112.274600000001,-1502.9177999999997,-5615.1924
133,550.9339,1363.4868,-1101.0901,0.0,0.0,0.0,-1282.5468,-16130.003,602.3393,11808.8435,-1962.6282,1238.1368,-748.4143,-4188.036399999999,-1472.9057000000003,-5660.942099999999
